,cust_no,age_level,exp_code,source_code,0,1,2,5,9,A,trans_type,c0,c1,c2,c3,c4,c5,c6,current_c,H,O,R,company_type,avg_stock,current_stock,avg_amount,current_amount,label
2682,0x36FF05B1503D0407CA4E2C81D2FD72F2AF8BDE1DB791496E812892C6F2A7E305,4,0,2,53,0,0,0,0,46,0,55,15,4,2,21,0,2,1,91,8,0,H,3060.60606060606,1000,58528.7878787879,12000,0
2683,0x91F539408FA9DD8002F4232E4FEA7D8AB3F6B12F0CB574516A3B0FC15FEB20FB,2,0,2,11,0,0,0,0,0,0,8,3,0,0,0,0,0,0,11,0,0,H,1272.72727272727,2000,76290.9090909091,119200,0
2684,0x86CB7A6A26C74F2074DACA4C3832F6B1619D91CAC8EAC7D84A00157FE64C2771,2,0,2,12,0,0,0,0,0,0,7,0,5,0,0,0,0,0,12,0,0,H,7166.66666666667,5000,424341.666666667,406000,0
2685,0xC50FEC94849B03AFC84FAF93B954581EF0E754488A3B521C1244133D148BF999,4,2,2,45,0,0,0,0,0,0,27,0,6,0,0,0,12,0,45,0,0,H,501.422222222222,100,29979.7057777778,44840,0
2686,0xB3976BC7EBA47DE7BD6C412B307F14BB7901638350164ACC6E2B43BCD5C62C52,4,3,2,74,0,11,0,2,28,0,76,7,0,2,0,30,0,5,99,16,0,H,1179.87826086957,4000,14945.8222608696,54040,0
2687,0xE9A991E51F709BEC4A44FCF1625AE9EA697A3F41B7C2A154F8C82EFB922FD916,2,3,2,24,0,0,0,0,0,0,4,4,0,0,0,0,16,6,24,0,0,H,1916.66666666667,2000,44862.5,52820,0
2688,0x0A78B9F444AD3610B4427B980B3AA8C1BFBD311F373D17E22B7ACCFC7E693CEA,4,4,2,95,0,0,0,0,0,0,10,18,34,0,4,13,16,5,89,6,0,H,3065.26315789474,2000,93406.5263157895,37400,0
2689,0x77FD98F32BED57F1FED4456D26E245F9ED1FF69EF0FA9C7453B9252AF5C99728,4,0,2,16,0,0,0,0,0,0,2,2,8,0,0,0,4,1,16,0,0,H,1750,2000,51091.875,86200,0
2690,0xEC47737CD91827F170707151E42660E1ED5E0D2043B215A664F2790C16FE1F3D,2,2,2,21,0,0,0,0,0,0,16,0,0,0,5,0,0,0,21,0,0,H,9904.76190476191,2000,518788.095238095,504400,0
2691,0x02DF90AB2CE580B32EC4210AF9E719255449578265F841E48CD21E937234A3D0,4,4,2,37,0,0,0,0,0,0,28,0,7,1,1,0,0,0,37,0,0,H,3427.40540540541,2000,71989.9502702703,41000,0
2692,0xBBE0960CF78E4975EFC6D3C99BBA7FA1C6F547D08494EFB598344115B0A4249B,2,0,2,35,0,0,0,0,4,0,18,7,11,0,3,0,0,4,39,0,0,H,1448.71794871795,4000,118651.923076923,48800,0
